title,author,illustrator,isbn,publishedYear,publisher,paragraphInfoCount,라벨,연령대
"나와라, 짠!",유옥진,유혜경,9791165954178,2022,아람북스,2,의사소통,유아
잭과 콩나무,문이재 독서논술연구소,오희정,9791159424755,2020,무지개,1,의사소통,유아
은혜 갚은 까치,문이재 독서논술연구소,양하준,9791159425004,2020,무지개,8,의사소통,유아
방귀쟁이 새색시,문이재 독서논술연구소,서재현,9791159424885,2020,무지개,9,의사소통,유아
단 방귀 장수,정지아,배종숙,9791157987313,2019,세이펜북스,1,의사소통,유아
산책하러 가요,다카기 상고,다카기 상고,9791165435820,2022,아람북스,2,의사소통,유아
나는 꼬물이야,에스더 반 덴 베르그,에스더 반 덴 베르그,9791165435943,2022,아람북스,6,의사소통,유아
키작은 딸기,아이글터,Zuni,9788993877335,2009,어깨동무,3,의사소통,유아
인어 공주,문이재 독서논술연구소,송수미,9791159424717,2020,무지개,11,의사소통,유아
누렁소와 검정소,문이재 독서논술연구소,김수환,9791159424830,2020,무지개,8,의사소통,유아
태워 줄까?,꼬두람이,꼬두람이,9791165432331,2021,아람키즈,3,의사소통,유아
생일 축하해!,꼬두람이,꼬두람이,9791165432430,2021,아람키즈,5,의사소통,유아
이게 뭘까?,김경미,박해남,9791165953997,2022,아람북스,2,의사소통,유아
무얼 하는 걸까요?,꼬두람이,꼬두람이,9791165432355,2021,아람키즈,5,의사소통,유아
"아니야, 아니야!",김민진,아람북스,9791128212765,2018,아람북스,1,의사소통,유아
헨젤과 그레텔,문이재 독서논술연구소,박석철,9791159424793,2020,무지개,1,의사소통,유아
따뜻한 털장갑,엘렌 호스마,샤론 하머,9791165436049,2022,아람북스,6,의사소통,유아
이상한 샘물,문이재 독서논술연구소,김영근,9791159425042,2020,무지개,9,의사소통,유아
아기 수달은 집으로 가고 싶어요,제다 로바드,제다 로바드,9791165435059,2022,아람키즈,7,의사소통,유아
마트에 가요,샘 윌리엄스,에카테리나 트루칸,9791165435905,2022,아람북스,5,의사소통,유아
소금 장수와 기름 장수,문이재 독서논술연구소,이계화,9791159424939,2020,무지개,8,의사소통,유아
아기 새가 노랫소리를 찾아요,제다 로바드,제다 로바드,9791165435066,2022,아람키즈,6,의사소통,유아
늑대의 양을 빼앗은 사자,백금서,이현민,9788961915922,2011,한얼교육,1,의사소통,유아
어디에서 품어 볼까?,꼬두람이,꼬두람이,9791165432300,2021,아람키즈,2,의사소통,유아
꼭꼭 숨어라,아이글터,이병호,9788993877236,2009,어깨동무,7,의사소통,유아
엄지 공주의 모험,문이재 독서논술연구소,최지연,9791159424687,2020,무지개,10,의사소통,유아
백설 공주,문이재 독서논술연구소,엄순옥,9791159424601,2020,무지개,13,의사소통,유아
무엇이 될까?,꼬두람이,꼬두람이,9791165432386,2021,아람키즈,3,의사소통,유아
다섯 알의 완두콩,문이재 독서논술연구소,전혜정,9791159424564,2020,무지개,10,의사소통,유아
솥 안에 든 거인,문이재 독서논술연구소,전혜령,9791159424953,2020,무지개,9,의사소통,유아
키키의 친구 만들기,아이글터,Zuni,9788993877465,2009,어깨동무,5,의사소통,유아
요술부채,문이재 독서논술연구소,송수연,9791159424977,2020,무지개,7,의사소통,유아
구둣방 할아버지와 요정,문이재 독서논술연구소,김슬기,9791159424519,2020,무지개,8,의사소통,유아
숲 속의 세 난쟁이,문이재 독서논술연구소,배정민,9791159424649,2020,무지개,11,의사소통,유아
티티가 유치원에 가요,아이글터,Zuni,9788993877328,2009,어깨동무,6,의사소통,유아
어떤 글자가 숨어 있을까?,아이글터,Zuni,9788993877120,2009,어깨동무,4,의사소통,유아
괜찮아!,이선아,아람북스,9791128212710,2018,아람북스,4,의사소통,유아
뛰뛰빵빵!,헥토르 덱셋,헥토르 덱셋,9791165435875,2022,아람북스,4,의사소통,유아
"그래그래, 괜찮아!",콰르토 편집부,아넬리스드로즈,9791165436063,2022,아람북스,3,의사소통,유아
배고파!,캐롤라인 달라바,캐롤라인 달라바,9791165435837,2022,아람북스,2,의사소통,유아
와~달콤해,아이글터,노선미,9788993877113,2009,어깨동무,8,의사소통,유아
내 친구 퍼피를 소개해요,아이글터,Zuni,9788993877281,2009,어깨동무,2,의사소통,유아
마음에 쏙 들어요,꼬두람이,꼬두람이,9791165432379,2021,아람키즈,6,의사소통,유아
삐악삐악 부활절이야,리즈벳 슬래거스,리즈벳 슬래거스,9788993877038,2009,어깨동무,12,의사소통,유아
안녕?,김경미,아람북스,9791128212475,2018,아람북스,2,의사소통,유아
해님 달님,문이재 독서논술연구소,장은정,9791159425103,2020,무지개,11,의사소통,유아
과일이 주렁주렁,꼬두람이,꼬두람이,9791165432348,2021,아람키즈,5,의사소통,유아
아기 양이 매애!,라파엘라 볼라피오,라파엘라 볼라피오,9791165435806,2022,아람북스,1,의사소통,유아
뿌우가 엄마를 찾아요,아이글터,성은경,9788993877298,2009,어깨동무,3,의사소통,유아
폴짝이는 아함,산드라 지멘스,파블로 아이 엘리아스,9791165437114,2022,아람키즈,6,의사소통,유아
좋아해 좋아해,아이글터,Zuni,9788993877274,2009,어깨동무,2,의사소통,유아
황소 잃고 감자를 얻은 욕심쟁이,문이재 독서논술연구소,박시은,9791159425134,2020,무지개,11,의사소통,유아
개구리 왕자,문이재 독서논술연구소,차은실,9791159424496,2020,무지개,11,의사소통,유아
잠이 안 와요,디디에 자농,김세정,9791165435868,2022,아람북스,3,의사소통,유아
동글동글 지그재그 따라그려요,아이글터,Zuni,9788993877403,2009,어깨동무,2,의사소통,유아
콩쥐 팥쥐,문이재 독서논술연구소,차은실,9791159425073,2020,무지개,9,의사소통,유아
미운 아기 오리,문이재 독서논술연구소,오희정,9791159424595,2020,무지개,12,의사소통,유아
공 좀 잡아 줘!,꼬두람이,꼬두람이,9791165432393,2021,아람키즈,3,의사소통,유아
혹부리 할아버지,문이재 독서논술연구소,윤상균,9791159425127,2020,무지개,8,의사소통,유아
엄마 품에 쏙!,가로쿠 코우보우,가로쿠 코우보우,9791165435813,2022,아람북스,3,의사소통,유아
누구 발일까?,샘 윌리엄스,에카테리나 트루칸,9791165430276,2022,아람북스,4,의사소통,유아
모양 이야기,김인숙,이진경,9791128216923,2019,아람북스,13,의사소통,유아
올망졸망 샌드위치,후유노 이치코,후유노 이치코,9791165435844,2022,아람북스,3,의사소통,유아
"잘 가, 병아리야!",백금서,박경민,9788961916172,2011,한얼교육,1,의사소통,유아
선녀와 나무꾼,문이재 독서논술연구소,장종균,9791159424915,2020,무지개,8,의사소통,유아
아기는 어떻게 태어날까? ,강용숙,황현철,9788960162570,2019,세종,1,자연탐구,유아
벌나라의 일꾼벌,"김미선, 채영숙, 김은정, 박찬",정보 없음,8957420274,2003,생각의 샘,1,자연탐구,유아
둥둥둥 뿌우 딱딱 따다닥!,김미희,이윤하,9788959042326,2004,(주)한국퍼킨스교육연구원,15,자연탐구,유아
"피부야, 뭘 느꼈니? ",정명숙,김태란,9788960162532,2019,세종,1,자연탐구,유아
비행기를 타려면,윤선아,이인화,9791165953799,2021,아람북스,1,자연탐구,유아
깨끗하게 싹싹싹! ,예종화,김승연,9788960162525,2019,세종,1,자연탐구,유아
똥탐정 철퍽철퍽,백은영,한상언,9788994730561,2010,인북,13,자연탐구,유아
뚝딱뚝딱 고쳐 줄게!,우은경,한은영,9791165953423,2021,아람북스,5,자연탐구,유아
100원이 될 테야,홍윤희,정수진,9788994730301,2010,인북,24,자연탐구,유아
수수께끼 배꼽,김희남,박재현,9791165951207,2021,아람북스,13,자연탐구,유아
꽃을 피우는 숫자들,김선희,이화연,9788994730554,2010,인북,12,자연탐구,유아
우리 나가서 놀자,윤여림,윤지회,9791128212208,2018,아람북스,3,자연탐구,유아
지구가 아파요,유미나,이지원,9791128212291,2018,아람북스,2,자연탐구,유아
(찌리릿!) 전기는 어떻게 만들까? ,윤성은,최지숙,9788960162662,2019,세종,1,자연탐구,유아
달님 배꼽이 갖고 싶어!,배정인,이은경,9788959042371,2004,(주)한국퍼킨스교육연구원,28,자연탐구,유아
(빨주노초파남보) 무지개 ,김영이,김태란,9788960163072,2019,세종,1,자연탐구,유아
개는 어째서 소리를 잘 들을까? ,윤성은,신경란,9788960162556,2019,세종,1,자연탐구,유아
우리는 멋쟁이 악단,최고은,오킹,9791165953621,2021,아람북스,12,자연탐구,유아
크레파스의 색깔 자랑,윤영선,배수연,9788994730479,2010,인북,20,자연탐구,유아
우리는 한가족이야,유덕자,정인성,9788994730455,2010,인북,13,자연탐구,유아
올챙이는 왜 아빠를 닮지 않았을까? ,김영이,계창훈,9788960162280,2019,세종,1,자연탐구,유아
사파리 동물들,마리아 베한,춤추는코끼리,9788993828740,2009,별똥별,8,자연탐구,유아
물고기는 수영 선수 ,정명숙,"조솔아, 이찬림",9788960162822,2019,세종,1,자연탐구,유아
무엇으로 먹을까?,우은경,이지원,9791165953416,2021,아람북스,9,자연탐구,유아
누구일까요?,초록큰나무,춤추는코끼리,9788993828955,2009,별똥별,14,자연탐구,유아
과일들은 왜 빨갛고 노랄까요?,모윤희,성은,9788959042227,2004,(주)한국퍼킨스교육연구원,23,자연탐구,유아
그림자를 갖고 싶어!,우산,엄수지,9791165951443,2021,아람북스,1,자연탐구,유아
목화솜은 티셔츠로 ,정명숙,김소진,9788960162907,2019,세종,1,자연탐구,유아
바람 타고 둥실둥실 멀리 ,예종화,이동국,9788960162549,2019,세종,1,자연탐구,유아
구름이 하늘에 그림을 그려요,전준,윤경희,9788959042333,2004,(주)한국퍼킨스교육연구원,19,자연탐구,유아
나방은 왜 불을 좋아할까? ,윤성은,시니,9788960162341,2019,세종,1,자연탐구,유아
해치 하나 나 하나,정진,이주윤,9788994730028,2010,인북,11,자연탐구,유아
우리는 점점점,나은희,김혜연,9788994730158,2010,인북,9,자연탐구,유아
곰팡이가 메주를 ,김영이,정경문,9788960162792,2019,세종,1,자연탐구,유아
소리는 공기를 타고 ,윤성은,"김은경, 구현아",9788960162983,2019,세종,1,자연탐구,유아
"선 사세요, 선!",양지안,원혜진,9788994730165,2010,인북,16,자연탐구,유아
에너지를 만드는 발전소,남석기,박밀레,9788959042432,2004,(주)한국퍼킨스교육연구원,24,자연탐구,유아
"공기를 마시자, 흐흡 후!",서산,조연,9791165951566,2021,아람북스,1,자연탐구,유아
까부랑 도깨비야,유영진,최승화,9788994730424,2010,인북,13,자연탐구,유아
만약 물이 없다면?,이선아,권아라,9791165951160,2021,아람북스,7,자연탐구,유아
"주룩주룩, 비는 왜 울까? ",김영이,안효선,9788960162433,2019,세종,1,자연탐구,유아
나뭇잎은 왜 초록색일까? ,김영이,김향희,9788960162693,2019,세종,1,자연탐구,유아
배꼽을 찾아보자!,백은영,김기환,9791186298138,2015,꼬마대통령,1,자연탐구,유아
아름다운 새,마리아 베한,춤추는코끼리,9788993828801,2009,별똥별,7,자연탐구,유아
뱀은 어디로 갔을까? ,김영이,정혜영,9788960162419,2019,세종,1,자연탐구,유아
알록달록 나뭇잎으로,고지혜,정하진,9791128212024,2018,아람북스,5,자연탐구,유아
자연에서 만나요,"마리아 베어,소냐 발라프",춤추는코끼리,9788993828764,2009,별똥별,2,자연탐구,유아
트랙터의 일기,소라게,조우영,9791165953461,2021,아람북스,8,자연탐구,유아
"야호, 보물 지도다!",신영란,임경희,9788994730271,2010,인북,19,자연탐구,유아
아직 먹을 수 없어,장선혜,조수진,9791128212055,2018,아람북스,1,자연탐구,유아
동물들이 사라져 가요,신혜연,"이정인, 이재은",9788959042586,2004,(주)한국퍼킨스교육연구원,17,자연탐구,유아
"굴러라, 굴러!",임승완,이병호,9788959042463,2004,(주)한국퍼킨스교육연구원,19,자연탐구,유아
"아빠, 달님을 떠 주세요",우은경,소복이,9791165951153,2021,아람북스,12,자연탐구,유아
땅이 우르릉 꽝! ,정명숙,고정현,9788960162495,2019,세종,1,자연탐구,유아
나도 태워 줘,하늘땅,이수애,9791128212048,2018,아람북스,3,자연탐구,유아
줄을 서 볼까?,홍윤희,김보영,9788994730462,2010,인북,14,자연탐구,유아
바람은 어떻게 태어날까요?,임승완,임경현,9788959042340,2004,(주)한국퍼킨스교육연구원,29,자연탐구,유아
이러면안돼지,정은미,김천정,9788994730400,2010,인북,15,자연탐구,유아
농장의 동물들,토머스 다운스,춤추는코끼리,9788993828719,2009,별똥별,5,자연탐구,유아
(연못 속의) 별난 식구들 ,김영이,김기택,9788960163133,2019,세종,1,자연탐구,유아
"개미야, 도와줘! ",김영이,"신승희, 손진주",9788960163034,2019,세종,1,자연탐구,유아
"나는 장구, 아빠는 꽹과리",김은중,이상미,9788994730448,2010,인북,20,자연탐구,유아
줄줄이 먹고 먹히며 ,김영이,"천필연, 서복현, 하미희",9788960162655,2019,세종,1,자연탐구,유아
"스케이트 선수, 소금쟁이 ",김영이,김상희,9788960162488,2019,세종,1,자연탐구,유아
낮이 좋아? 밤이 좋아?,서지원,정세라,9791165951511,2021,아람북스,12,자연탐구,유아
세상에서 가장 특별한 식물,김호미,김유대,9791165951399,2021,아람북스,1,자연탐구,유아
"솜씨 좋은 사람, 다 모여라",김미애,정림,9788994730240,2010,인북,20,자연탐구,유아
모두 모두 또르르 쿵! ,김영이,이미라,9788960162990,2019,세종,1,자연탐구,유아
시끌벅적 키재기,박세은,김보미,9788994730226,2010,인북,13,자연탐구,유아
(배추벌레) 엄마는 누굴까? ,강용숙,민정림,9788960163010,2019,세종,1,자연탐구,유아
우리 몸은 어떻게 움직일까? ,정명숙,장혜련,9788960162877,2019,세종,1,자연탐구,유아
무지개 솜사탕,김경옥,천숙연,9788994730356,2010,인북,20,자연탐구,유아
똥차 트럭,정은미,정종해,9788994730080,2010,인북,18,자연탐구,유아
비단실을 뽑는 재주꾼 ,윤성은,김태란,9788960163096,2019,세종,1,자연탐구,유아
동글동글 동그라미,유가은,그림작가정보없음,9791128212086,2018,아람북스,3,자연탐구,유아
척척 요리사 샤크,황유진,연정훈,9788994730042,2010,인북,18,자연탐구,유아
어떻게 먹을까?,하늘땅,윤봉선,9791128212178,2018,아람북스,4,자연탐구,유아
에계! 식물이 움직이네 ,예종화,신승희,9788960163140,2019,세종,1,자연탐구,유아
"간다, 닥터 헬멧!",우은경,박우희,9791165951276,2021,아람북스,8,자연탐구,유아
지렁이 왕자,이미현,"김도윤,심상정",9791165951337,2021,아람북스,10,자연탐구,유아
까꿍! 날 찾아봐 ,박진영,김기택,9788960162457,2019,세종,1,자연탐구,유아
쌀은 어디서 나올까? ,윤성은,최지숙,9788960162563,2019,세종,1,자연탐구,유아
눈 속에서도 푸른 소나무,"채영숙, 김미선",정보 없음,8990591708,2003,생각의 샘,1,자연탐구,유아
숲이 사라지면 ,박진영,계창훈,9788960162594,2019,세종,1,자연탐구,유아
펭귄과 북극 새,마리아 베한 ,춤추는코끼리,9788993828818,2009,아람북스,5,자연탐구,유아
외계인 뽀요와 지구의 집,홍윤선,오승민,9791165953683,2021,아람북스,11,자연탐구,유아
슝! 비행기가 날아요,하늘땅,민병권,9791165953546,2021,아람북스,4,자연탐구,유아
+-×÷ 마술쇼,김혜선,김종환,9788994730394,2010,인북,8,자연탐구,유아
서로 돕는 좋은 친구,이지예,박재현,9788959042258,2004,(주)한국퍼킨스교육연구원,31,자연탐구,유아
"엄마, 사랑해요!","마리아 베어,소냐 발라프",춤추는코끼리,9788993828894,2009,별똥별,3,자연탐구,유아
우리 몸의 뼈 뼈 뼈,은서영,김잔디,9791165951245,2021,아람북스,11,자연탐구,유아
신기한 전화기,하늘땅,홍성지,9791128212062,2018,아람북스,4,자연탐구,유아
손으로도 말할 수 있어,하루,하루,9791165953652,2021,아람북스,11,자연탐구,유아
"나무도 여자, 남자가 있을까? ",윤성은,정영희,9788960163218,2019,세종,1,자연탐구,유아
곱슬머리 결혼식,정수비,박선영,9788994730332,2010,인북,14,자연탐구,유아
먹고 먹히는 세계,김은미,김민철,9788959042579,2004,(주)한국퍼킨스교육연구원,23,자연탐구,유아
물방울의 여행,이규태,전미영,9788959042289,2004,(주)한국퍼킨스교육연구원,21,자연탐구,유아
파릇파릇 초록 잎 울긋불긋 단풍잎,김미희,전혜선,9788959042210,2004,(주)한국퍼킨스교육연구원,17,자연탐구,유아
엄마 오리를 찾아서 ,예종화,이지은,9788960163249,2019,세종,1,자연탐구,유아
멸종위기 동물들,토머스 다운스,춤추는코끼리,9788993828771,2009,별똥별,1,자연탐구,유아
우리는 자동차! 일하는 자동차!,김호미,정경호,9791165953478,2021,아람북스,12,자연탐구,유아
"길다 길어, 기차",김희남,김경임,9791165953522,2021,아람북스,11,자연탐구,유아
꼭꼭 숨어라!,초록큰나무,춤추는코끼리,9788993828900,2009,별똥별,2,자연탐구,유아
동이의 이상한 하루,엄미랑,배종숙,9788994730325,2010,인북,19,자연탐구,유아
어흥! 고기 밥이 최고야 ,박진영,최영미,9788960162754,2019,세종,1,자연탐구,유아
알파야? 배파야?,서산,이요한,9791165951306,2021,아람북스,11,자연탐구,유아
단풍은 어떻게 생길까요?,"채영숙, 김미선",정보 없음,8990591716,2003,생각의 샘,1,자연탐구,유아
호야는 잠이 안 와,이원경,강희준,9788994730608,2010,인북,27,자연탐구,유아
"전기야, 어디만큼 왔니?",김세실,김태란,9788959042425,2004,(주)한국퍼킨스교육연구원,22,자연탐구,유아
조각조각 요술 담요,김영란,김태란,9788994730134,2010,인북,20,자연탐구,유아
바닷속 축구 대회,조임생,진상호,9788994730141,2010,인북,17,자연탐구,유아
"아, 잘 먹었다",하늘땅,박수지,9791128212222,2018,아람북스,3,자연탐구,유아
부리 부리 새 부리,장선혜,김삼현,979116595152,2021,아람북스,10,자연탐구,유아
깨끼발로 깡충,이혜옥,김혜란,9788994730059,2010,인북,15,자연탐구,유아
초원의 동물들,마리아 베한,춤추는코끼리,9788993828726,2009,별똥별,8,자연탐구,유아
아기가 좋아하는 오! 감각,은서영,안은진,9791165951214,2021,아람북스,13,자연탐구,유아
내 바퀴는 어디로 갔을까?,조은수,김유대,9791128212239,2018,아람북스,2,자연탐구,유아
한 번에 쭈욱! 지퍼는 편리해,김지현,조아영,9791165953409,2021,아람북스,9,자연탐구,유아
"불아, 물 먹으면 죽어 ",정명숙,전혜령,9788960162723,2019,세종,1,자연탐구,유아
엉터리 빛 마술사,모윤희,정현아,9788959042319,2004,(주)한국퍼킨스교육연구원,19,자연탐구,유아
그림자는 왜 생길까? ,박진영,계창훈,9788960163041,2019,세종,1,자연탐구,유아
나비가 된 애벌레,소냐 발라프,춤추는코끼리,9788993828870,2009,별똥별,6,자연탐구,유아
내 꼬리 어때?,고영이,조원희,9791165951320,2021,아람북스,11,자연탐구,유아
요번에는 뭐게?,장선혜,최민오,9791128212109,2018,아람북스,1,자연탐구,유아
너를 밝혀 줄게,콩닥콩,김용대,9791165951436,2021,아람북스,8,자연탐구,유아
씽씽 풀잎 자동차,고선미,강은경,9788994730363,2010,인북,16,자연탐구,유아
뼈다귀가 좋아!,고희동,임다와,9791165951559,2021,아람북스,10,자연탐구,유아
생쥐와 초콜릿 하나,유지현,장현경,9788994730103,2010,인북,4,자연탐구,유아
바다는 왜 파랗고 짤까?,모윤희,박은희,9788959042531,2004,(주)한국퍼킨스교육연구원,23,자연탐구,유아
나타났다!,배인주,장선환,9791165951313,2021,아람북스,7,자연탐구,유아
자석은 철을 좋아해!,김미희,정기성,9788959042449,2004,(주)한국퍼킨스교육연구원,28,자연탐구,유아
바람이 전하는 사막 이야기,이수나,장인환,9788959042524,2004,(주)한국퍼킨스교육연구원,32,자연탐구,유아
궁금해 왕자와 알록달록 지렁이,김복희,손명자,9788994730530,2010,인북,18,자연탐구,유아
"치카치카, 뽀드득뽀드득 ",김영이,오세진,9788960163195,2019,세종,1,자연탐구,유아
먹고 먹은 똥 ,김희남,김세현,9791128212277,2018,아람북스,7,자연탐구,유아
떴다 떴다 비행기!,김미희,조성덕,9788959042500,2004,(주)한국퍼킨스교육연구원,23,자연탐구,유아
내가 좋아하는 날씨는?,다연,박현주,9791165958176,2021,아람북스,11,자연탐구,유아
"가루 가루, 밀가루야!",하늘땅,"유한나,김유대",9791128212314,2018,아람북스,1,자연탐구,유아
은이와 짝꿍 되기,윤영선,진보경,9788994730493,2010,인북,23,자연탐구,유아
방글 아주머니의 별빵,고수산나,서은정,9788994730349,2010,인북,19,자연탐구,유아
아기 동물들,"마리아 베어,소냐 발라프",춤추는코끼리,9788993828672,2009,별똥별,1,자연탐구,유아
"입을 크게 벌리고, 아!",고지혜,최민오,9791128212185,2018,아람북스,2,자연탐구,유아
이제 그만 자야지?,하늘땅,심미아,9791128212246,2018,아람북스,1,자연탐구,유아
고무풍선이 펑! ,강용숙,고혜진,9788960162389,2019,세종,1,자연탐구,유아
귀여운 강아지,소냐 발라프 ,춤추는코끼리,9788993828689,2009,별똥별,7,자연탐구,유아
"찾아봐요, 짜잔!",장선혜,이지원,9791128212123,2018,아람북스,1,자연탐구,유아
텔레비전에 내가 나왔어요,유승희,김경수,9788959042487,2004,(주)한국퍼킨스교육연구원,28,자연탐구,유아
여기는 방귀 도서관,장선혜,조옥경,9791165953591,2021,아람북스,11,자연탐구,유아
